"Title","ID","Created Date","Updated Date","Owner","Name","Business Directory (Item)","Category","Description","Website","Phone","Email","Business Owner","Address","Verified","Business Directory (All)","(Resources)","(Restaurants & Bars)","(Hair, Beauty & Wellness)","(Mental Health)","(Work & Event Spaces)","(Art, Photography & Planning)","(Music & Culture)","(Online Goods & Products)","(Online Clothing & Accessories)","(Sports & Entertainment)","(Legal & Consulting)","(Automotive)","(Cleaning & Maintenance)","(Health & Life Care, Education)","(Shopping)","(Catering, Snacks & Drinks)","Commerce","Is this a Black Owned Business?","Select an option","Tags","Publish Date","Unpublish Date","Status"
,"00252f86-7c02-47b3-b167-c9e045f74d31",2026-01-26T20:22:50Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","Charles Buddy Love","/business-directory/charles-buddy-love","[""Music, Entertainment & Culture""]","Jazz Entertainment 😎 for all occasions ✌🏿",,4143131985,"trumpetmancarl@yahoo.com","Carl Love","8048 W Manor Circle",,"/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"00457e44-7a30-472f-bf28-bcfbacff6baf",2023-12-12T07:06:01Z,2026-01-26T23:16:32Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","LUSH POPCORN LLC","/business-directory/lush-popcorn-llc","[""Food & Drink""]","Lush Popcorn is Milwaukee's own small batch, hand-crafted and infused gourmet popcorn and lemonade company. We sell our gourmet snacks in bags, tins and jars. We take pride in sourcing our corn direct from WI farms to use the best in local ingredients - enticing your taste buds and above all, bringing fun to your snacks with bold and unique combinations.","www.lushpopcorn.com",4142150052,"info@lushpopcorn.com","Marc & Marcia Taylor","920 E Locust St, Milwaukee WI",,"/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"006e6e1e-ecaa-4678-8261-9557c39f7be9",2023-12-12T07:05:59Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","CJ's Tasty Treats","/business-directory/cj's-tasty-treats","[""Food & Drink""]","Specialty flavored mini donuts.","https://bit.ly/3Eo7mFI",4142526421,"cjstastytreats414@gmail.com","Celeste Moore","3329 W Lisbon Ave Milwaukee WI 53208","12/3/2021","/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"0077fbe8-f779-499a-9ddd-e1e378551621",2023-12-12T07:06:00Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","Gee's Clippers","/business-directory/gee's-clippers","[""Hair, Beauty & Grooming""]",,,4147638832,,,"2200 N Doctor M.L.K. Jr Dr",,"/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/","TRUE",,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"00c71c61-e31c-42c2-b8ad-092ff9572b32",2023-12-12T07:06:02Z,2026-01-26T23:15:50Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","Rae's Sweet Sensations","/business-directory/rae's-sweet-sensations","[""Food & Drink""]","Rae's Sweet Sensations is a small bakery and treat business that specializes in cakes, specialty cookies, cupcakes and dipped treats.","https://bit.ly/3yaxelD",2623467950,"raes.sweet.sensations@gmail.com","Rachael James","NA","3/25/2021","/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"010daaa5-83e2-4b5b-a50b-a8d931457186",2023-12-12T07:06:02Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","Philgoods House of Customs","/business-directory/philgoods-house-of-customs","[""Automotive & Travel""]","Philgoods House of Customs is an automotive body shop that specializes in autobody repair and refinishing. We work with our customers and insurance company's to get vehicles repaired fast and to factory specifications.","https://bit.ly/3hqfooL",4143677445,"NA","Philip L Scarborough","NA","10/23/2021","/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"01a05e81-1815-482c-a2bc-cd16be2289cd",2023-12-12T07:06:01Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","Operation Dream","/business-directory/operation-dream","[""Nonprofits""]","Developmental opportunities and mentoring support for over 250 boys and young men primarily of color, from kindergarten through high school, who need positive role models.","https://bit.ly/2QhXARD",,,,,,"/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"01ad31d6-7477-431e-b962-c059fb8dec48",2023-12-12T07:06:02Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","Premium Stylez Apparel ","/business-directory/premium-stylez-apparel-","[""Retail & Shopping""]","Urban clothing shop for men and children.
","https://bit.ly/3w7D4T8",,,,"5619 W North Ave, Milwaukee, Wisconsin, USA
",,"/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"01d0fbe4-387d-43db-b780-b7c4e5f97ab8",2026-01-26T20:22:50Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","MiniPAUSE","/business-directory/minipause","[""Health, Wellness & Care""]","We curate MiniPAUSE subscriptions box particularly tailored to meet the needs of women transitioning into Perimenopause, Menopause or Post Menopause.   We recognize that this journey may bring about a variety of physical and mental changes.  MiniPAUSE subscription Boxes is meant to empower and soothe any woman on her particular journey.  Also, we curate herbal blends that promote overall wellness not only for women but men too.","www.minipause.net",4142503142,"info@minipause.net","Marzette Harris","Milwaukee, WI",,"/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
,"023c3ebf-6917-465a-aaca-93ceaab12ca7",2023-12-12T07:05:59Z,2026-01-26T23:00:31Z,"9f0f22e4-5f8a-4846-b451-0a79439e7b1a","Diverse Dining","/business-directory/diverse-dining","[""Catering & Event Food""]","Our mission is to cultivate courage, compassion and connection through meaningful conversations centered around diverse foods and cultural exploration. We offer cultural dining experiences and diversity and inclusion solutions that impact change. ","https://bit.ly/3tKN3iI",4145334889,"info@4diversedining.com","Emerald Mills","NA","3/28/2022","/business-directory/","/copy-of-business-directory-1/","/copy-2-of-business-directory-1/","/copy-3-of-business-directory-1/","/copy-3-of-business-directory-1-1/","/copy-5-of-business-directory-1-1/","/copy-3-of-business-directory-1-2/","/copy-4-of-business-directory-1-2/","/copy-5-of-business-directory-1-2/","/copy-6-of-business-directory-1-2/","/copy-8-of-business-directory-1-2/","/copy-9-of-business-directory-1-2/","/copy-11-of-business-directory-1-2/","/copy-12-of-business-directory-1-2/","/copy-13-of-business-directory-1-2/","/copy-12-of-business-directory-1-2-1/","/copy-2-of-business-directory-1-1/",,,,,2026-01-26T21:33:18Z,,"PUBLISHED"
